Product_ID,Product_Name,Category,Price,Total_Selling,Quantity,Date_Sold,Total_Revenue,Discount
438,Laptop,Electronics,4267,309,333,2024-01-03,813210,44
603,Football,Books,3153,467,317,2024-01-09,849459,18
231,Football,Books,3767,589,64,2024-01-14,117068,36
412,Novel,Home Appliances,3844,219,52,2024-01-16,1270595,2
849,Football,Clothing,3787,90,207,2024-01-18,1878820,36
692,T-Shirt,Home Appliances,1030,25,125,2024-01-19,491522,36
948,Headphones,Books,527,37,340,2024-01-21,1728993,2
640,Tablet,Electronics,4239,190,476,2024-01-22,1506130,24
335,T-Shirt,Clothing,3007,360,335,2024-01-23,734883,40
698,Shoes,Clothing,616,388,337,2024-01-25,873843,14
650,Football,Home Appliances,4811,623,15,2024-01-31,1651152,6
214,Tablet,Home Appliances,4392,332,391,2024-02-01,1322374,31
583,Headphones,Books,4192,56,219,2024-02-03,1199245,12
558,Headphones,Home Appliances,4863,127,397,2024-02-07,745001,9
506,Laptop,Clothing,1546,271,103,2024-02-08,552266,20
528,Tablet,Books,973,219,54,2024-02-13,1574290,32
673,Headphones,Sports,2890,402,62,2024-02-17,1764559,26
570,Tablet,Clothing,3167,408,143,2024-02-22,1519567,4
404,Headphones,Sports,3381,550,33,2024-02-23,1745353,50
714,Headphones,Electronics,2439,385,218,2024-02-29,975073,22
683,Novel,Electronics,3946,607,314,2024-03-03,1334285,4
527,Shoes,Home Appliances,3850,341,457,2024-03-05,1765893,13
853,Tablet,Books,2516,524,124,2024-03-06,1528003,42
482,T-Shirt,Books,2492,195,278,2024-03-09,995633,48
